mlbID,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,swings_competitive,contact,whiffs,batted_ball_events,attempts,ev50,fbld,gb,ev95plus,barrels,batter_run_value,competitive_runs,bolts,swords,WAR,max_hit_speed,max_distance,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,whiff_per_swing,batted_ball_event_per_swing,avg_hit_angle,anglesweetspotpercent,avg_hit_speed,avg_distance,avg_hr_distance,ev95percent,sprint_speed,hp_to_1b,Age,age,#days,BA,OBP,SLG,OPS,brl_percent,brl_pa,percent_swings_competitive,bip,Name,Games,WAR_per_162,Season
408234,98,370,334,21,86,20,0,4,34,31,0,74,2,0,3,11,0,0,285.0,225.0,60.0,124.0,263.0,99.0,91.8,87.8,99.0,11.0,-7.82149105771899,127.0,0.0,8.0,-0.3,111.5,438.0,68.187689719,0.0070175438596491,0.3866666666666666,0.3052631578947368,0.1422222222222222,0.1122807017543859,7.389101021,0.2105263157894736,0.4350877192982456,7.4,34.2,89.1,146.0,408.0,37.6,23.1,5.09,40,40.0,791.0,0.25748502994011974,0.3216216216216216,0.3532934131736527,0.6749150347952744,0.08870967741935484,0.02972972972972973,0.7702702702702703,124.0,Miguel Cabrera,98,-0.4959183673469387,TOTAL
443558,49,152,143,9,35,5,1,5,23,6,1,46,2,0,1,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,-0.36,,,,,,,,,,,,,,,,,,,,42,42.0,881.0,0.24475524475524477,0.28289473684210525,0.3986013986013986,0.6814961354435038,,0.0,0.0,0.0,Nelson Cruz,49,-1.190204081632653,TOTAL
444482,232,701,649,84,170,38,1,16,87,42,1,128,4,0,6,12,6,1,787.0,591.0,196.0,296.0,328.0,100.8,92.8,87.2,145.0,16.0,-23.995536511536212,306.0,0.0,21.0,1.5699999999999998,111.5,415.0,71.75021575329949,0.21473951715374842,0.3164128595600677,0.23761118170266837,0.1285956006768189,0.09656925031766198,7.225496112919949,0.24904701397712833,0.3761118170266836,8.2,31.099999999999998,89.3,151.0,403.0,44.2,27.0,4.52,36,36.0,598.0,0.26194144838212635,0.30813124108416545,0.3975346687211094,0.7056659098052749,0.05405405405405406,0.02282453637660485,1.122681883024251,296.0,David Peralta,232,1.0962931034482757,TOTAL
444489,4,12,12,1,3,0,0,1,1,0,0,3,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,36,,875.0,0.25,0.25,0.5,0.75,,0.0,0.0,0.0,Manny Pi\xc3\xb1a,4,0.0,TOTAL
446334,90,291,259,28,55,12,0,11,32,26,0,94,1,1,4,9,0,0,111.0,84.0,27.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.771028871493176,74.0,0.0,2.0,0.42,,,71.975302883,0.1981981981981981,0.40476190476190466,0.3063063063063063,0.1309523809523809,0.0990990990990991,7.758970000000001,0.2432432432432432,0.4054054054054053,,,,,,,,,37,37.0,760.0,0.21235521235521235,0.2827586206896552,0.3861003861003861,0.6688590067900413,0.0,0.0,0.38144329896907214,45.0,Evan Longoria,90,0.7559999999999999,TOTAL
453568,220,912,808,116,215,48,10,20,92,82,2,141,17,0,5,10,10,3,1015.0,827.0,188.0,410.0,672.0,193.7,179.5,165.7,196.0,34.0,-20.52296751914978,320.0,0.0,6.0,2.03,108.5,463.0,67.27675514952116,0.02167487684729057,0.3083434099153567,0.2512315270935961,0.07738814993954048,0.06305418719211818,7.121649548660098,0.1852216748768473,0.4039408866995074,16.778536585365856,35.40268292682927,85.22536585365854,170.5951219512195,409.8,28.343170731707318,27.491666666666667,4.372916666666667,37,37.0,609.0,0.2660891089108911,0.3442982456140351,0.4245049504950495,0.7688031961090847,0.08292682926829269,0.03728070175438596,1.1129385964912282,410.0,Charlie Blackmon,220,1.4948181818181816,TOTAL
455117,239,749,672,55,119,21,0,23,61,50,0,258,5,22,0,20,0,0,742.0,481.0,261.0,240.0,235.0,99.5,92.8,83.4,94.0,20.0,-20.229066100698724,150.0,0.0,19.0,-1.22,109.3,438.0,71.34433898518712,0.1361185983827493,0.31808731808731805,0.206199460916442,0.133056133056133,0.08625336927223716,7.648229070018869,0.35175202156334223,0.32345013477088946,18.1,32.8,88.4,168.0,393.0,40.0,23.2,5.05,38,38.0,465.6666666666667,0.17708333333333334,0.2393397524071527,0.31101190476190477,0.5503516571690574,0.08333333333333333,0.0267022696929239,0.9906542056074766,240.0,Mart\xc3\xadn Maldonado,239,-0.8269456066945606,TOTAL
456781,311,965,867,85,235,43,2,16,94,73,1,213,21,0,4,24,2,1,1129.0,843.0,286.0,395.0,295.0,100.1,92.8,88.3,129.0,18.0,-32.202622968672074,301.0,0.0,19.0,2.5100000000000002,109.8,420.0,67.03512657671293,0.026572187776793578,0.3333333333333333,0.24889282550930025,0.09845788849347563,0.07351638618246231,6.9885451282178925,0.2533215234720992,0.34986713906111605,13.1,43.1,90.2,175.0,398.0,43.7,25.4,4.75,37,37.0,419.6666666666667,0.2710495963091119,0.34093264248704663,0.3806228373702422,0.7215554798572889,0.04556962025316456,0.01865284974093264,1.1699481865284973,395.0,Donovan Solano,311,1.307459807073955,TOTAL
457705,367,1539,1315,172,318,59,1,45,150,200,7,351,13,0,9,29,15,6,1910.0,1437.0,473.0,694.0,973.0,299.8,281.1,256.8,402.0,88.0,-50.158068796636385,467.0,2.0,35.0,2.31,110.2,448.0,71.86532528476896,0.18010471204188483,0.31106471816283926,0.2340314136125654,0.1468336812804453,0.11047120418848164,7.601417769773299,0.24764397905759158,0.3633507853403141,14.143515850144093,33.31066282420749,89.09308357348704,171.88616714697406,395.31111111111113,40.4121037463977,27.395066803699898,4.530719424460432,38,38.0,436.6666666666667,0.24182509505703423,0.3454782042940794,0.3908745247148289,0.7363527290089082,0.12680115273775217,0.057179987004548405,1.2410656270305394,694.0,Andrew McCutchen,367,1.0196730245231609,TOTAL
457759,366,1358,1189,159,311,62,0,37,169,127,2,242,25,0,17,29,6,3,1596.0,1361.0,235.0,594.0,826.0,195.3,182.8,170.6,298.0,43.0,-43.64393763972265,402.0,0.0,27.0,3.54,108.2,447.0,65.6590181344482,0.009398496240601472,0.3423952975753123,0.2919799498746867,0.06245407788390886,0.053258145363408435,6.388131397034461,0.1472431077694235,0.3721804511278195,17.356694560669457,38.974686192468624,87.918410041841,187.0,389.6764705882353,34.71652719665272,25.29007263922518,4.825496368038742,40,40.0,424.3333333333333,0.26156433978132887,0.34094256259204714,0.40706476030277544,0.7480073228948225,0.0723905723905724,0.03166421207658321,1.175257731958763,594.0,Justin Turner,366,1.5668852459016394,TOTAL
